part_id,part_name,supplier_name,module_group,main_module,module_name,torque_inf,specbook_number,specbook_filename,specbook_file_id
BIW30009431,ROOF_CRUSH_PATCH_FRONT_LH,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009432,ROOF_CRUSH_PATCH_FRONT_RH,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009434,ROOF_CRUSH_PATCH_REAR_RH,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009433,ROOF_CRUSH_PATCH_REAR_LH,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
BIW30009223,FIXATION_EXTRUSION_SIDE_SILL_PROFIL_RR,,BODY_IN_WHITE,UNDER_BODY,SIDE_SILL_INR,,,,
BIW30009269,SIDE_SILL_INR_BULKHEAD,,BODY_IN_WHITE,UNDER_BODY,SIDE_SILL_INR,,,,
BIW30009216,FIXATION_EXTRUSION_SIDE_SILL_PROFIL_FR,,BODY_IN_WHITE,UNDER_BODY,SIDE_SILL_INR,,,,
BIW30009084,CROSS_MEMBER_REINFORCED,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BLN30001620,BLANK_CR440Y780T- DP_GI50/50_160_1445_290,,,,,,,,
BIW30009425,REINF_INR_FR_PLR_UPR_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009424,REINF_INR_FR_PLR_UPR_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009327,BATTERY_STRAP_SUPPORT_BRACKET,,BODY_IN_WHITE,UNDER_BODY,PDUC,,,,
BIW30009128,REINF_A_PLR_OTR_LOWER_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009127,REINF_A_PLR_OTR_LOWER_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_OUTER,,,,
BIW30009521,BATTERY_TRAY,,BODY_IN_WHITE,UNDER_BODY,PDUC,,,,
BIW30009317,PANEL_FRONT_FLOOR_PATCH,,BODY_IN_WHITE,UNDER_BODY,FRONT_FLOOR,,,,
BIW30009245,BRIDGE_PATCH_FRONT_HEADER_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009246,BRIDGE_PATCH_FRONT_HEADER_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009508,BRACKET_CRASH_SENSOR_FRT_RH,,BODY_IN_WHITE,UNDER_BODY_PAINTED,BRACKETS,,,,
BIW30009507,BRACKET_CRASH_SENSOR_FRT_LH,,BODY_IN_WHITE,UNDER_BODY_PAINTED,BRACKETS,,,,
BIW30008710,BATTERY_TRAY,,BODY_IN_WHITE,UPPER_BODY,PDUC,,,,
BIW30009141,CHARGE_PORT_SUPPORT_BRACKET,,BODY_IN_WHITE,UNDER_BODY_PAINTED,BRACKETS,,,,
BIW30009146,FRONT_LONGIT_EXTN_REINF_RH,,BODY_IN_WHITE,UNDER_BODY,FRONT_END_SUBSYSTEMS,,,,
